t, E1, E2, E3, E
1, 0.04761904761904761, -0.037124621495340245, 0.13333333333333333, 0.14382775945704068
2, 0.07912620725258991, -0.037124621495340245, 0.1, 0.14200158575724967
3, 0.03784296868602128, -0.03597313742813219, 0.13333333333333333, 0.13520316459122242
4, 0.05802588531856597, -0.04391449794934381, 0.1, 0.11411138736922216
5, 0.02870962250261096, -0.05120497134221295, 0.13333333333333333, 0.11083798449373135
6, 0.029942267083135486, -0.05120497134221295, 0.13333333333333333, 0.11207062907425587
7, 0.037037037037037035, -0.04593227684481801, 0.1, 0.09110476019221903
8, 0.024868236565099677, -0.058891446640691285, 0.16666666666666666, 0.13264345659107504
9, 0.05128690153315789, -0.04593227684481801, 0.1, 0.10535462468833989
10, 0.025949964805384102, -0.04391449794934381, 0.16666666666666666, 0.14870213352270695
11, 0.07961215226098667, -0.03597313742813219, 0.1, 0.1436390148328545
12, 0.04351941398892446, -0.06823120194426123, 0.16666666666666666, 0.1419548787113299
13, 0.0303030303030303, -0.08591342671591844, 0.16666666666666666, 0.11105627025377852
14, 0.030719586345123145, -0.08540379473504453, 0.16666666666666666, 0.11198245827674527
15, 0.02857142857142856, -0.0909226539891159, 0.16666666666666666, 0.10431544124897932
16, 0.019341961772855323, -0.1191535060892477, 0.2, 0.10018845568360764
17, 0.01411440453694847, -0.11668037631524768, 0.13333333333333333, 0.030767361555034123
18, 0.02048681432004008, -0.1603792671427927, 0.13333333333333333, -0.006559119489419285
19, 0.01840360416834032, -0.18648329582452722, 0.13333333333333333, -0.034746358322853554
20, 0.0, -0.18489486236159178, 0.13333333333333333, -0.051561529028258446
21, 0.017505867379640827, -0.22721111341849487, 0.16666666666666666, -0.043038579372187385
22, 0.01853568914670294, -0.229416867142133, 0.13333333333333333, -0.07754784466209672
23, 0.012144952741095208, -0.24099161370590805, 0.13333333333333333, -0.09551332763147952
24, 0.015825241450517977, -0.2575587318257646, 0.13333333333333333, -0.1084001570419133
25, 0.022222222222222227, -0.2706236906368519, 0.13333333333333333, -0.11506813508129632
26, 0.03784296868602125, -0.2794023635578713, 0.13333333333333333, -0.10822606153851672
27, 0.02127659574468084, -0.24893824383566107, 0.1, -0.1276616480909802
28, 0.029012942659282958, -0.2692141593403699, 0.1, -0.14020121668108695
29, 0.030353472335950593, -0.2745461071071207, 0.1, -0.1441926347711701
30, 0.0374974746624437, -0.2838340614419262, 0.1, -0.1463365867794825
31, 0.04741890363096558, -0.29761130176898926, 0.06666666666666667, -0.18352573147135703
32, 0.058368223895332916, -0.3127066000936235, 0.06666666666666667, -0.18767170953162393
33, 0.06959696976740276, -0.3127066000936235, 0.06666666666666667, -0.1764429636595541
34, 0.04324994134230682, -0.3127066000936235, 0.1, -0.16945665875131669
35, 0.04662407272295325, -0.3127066000936235, 0.1, -0.16608252737067022
36, 0.05560706744010877, -0.3127066000936235, 0.1, -0.1570995326535147
37, 0.05929783666484755, -0.3127066000936235, 0.1, -0.15340876342877593
38, 0.03001338895787893, -0.3127066000936235, 0.13333333333333333, -0.14935987780241125
39, 0.008851406235035468, -0.322385741959848, 0.16666666666666666, -0.14686766905814588
40, 0.011605177063713206, -0.322385741959848, 0.16666666666666666, -0.1441138982294681
41, 0.01997612445393254, -0.322385741959848, 0.16666666666666666, -0.13574295083924878
42, 0.05297565554189335, -0.322385741959848, 0.13333333333333333, -0.13607675308462128
43, 0.013815686980610937, -0.3216250939048864, 0.13333333333333333, -0.17447607359094217
44, 0.0, -0.3216250939048864, 0.13333333333333333, -0.18829176057155309
45, 0.013390588919669062, -0.2966727399417868, 0.13333333333333333, -0.1499488176887844
46, 0.011795438547901852, -0.2925768181607761, 0.13333333333333333, -0.14744804627954092
47, 0.057454315765916225, -0.2640470916577864, 0.1, -0.10659277589187016
48, 0.030719586345123135, -0.23335858157571923, 0.16666666666666666, -0.03597232856392943
49, 0.017660052053476583, -0.2010382586435678, 0.13333333333333333, -0.05004487325675788
50, 0.024868236565099674, -0.18224095017002503, 0.1, -0.05737271360492535
51, 0.014084507042253513, -0.1661285695080837, 0.13333333333333333, -0.018710729132496856
52, 0.019341961772855323, -0.13420641236786562, 0.1, -0.014864450595010292
53, 0.011923127120253276, -0.1221346015592438, 0.13333333333333333, 0.023121858894342803
54, 0.01052025600218273, -0.11055985499546876, 0.13333333333333333, 0.0332937343400473
55, 0.03542906794171779, -0.0939927368756122, 0.1, 0.04143633106610559
56, 0.009161981892405158, -0.09120082830537532, 0.13333333333333333, 0.051294486920363175
57, 0.012987012987012972, -0.0824221553843559, 0.16666666666666666, 0.09723152426932373
58, 0.024036842732335688, -0.06313828795435707, 0.13333333333333333, 0.09423188811131195
59, 0.06745058710403697, -0.05317158261947809, 0.1, 0.11427900448455888
60, 0.0174077655955698, -0.05588112497549263, 0.16666666666666666, 0.12819330728674383
